[event] 启动完成 | revision 18 | 核心动作 17 | 预编辑事件 0 | IME 提交 0
[ime] 输入法锚点 [[8.0 117.0] - [9.5 145.7]]
[event] 预编辑「n」（未进历史） | revision 18 | 核心动作 17 | 预编辑事件 1 | IME 提交 0
[event] 预编辑「ni」（未进历史） | revision 18 | 核心动作 17 | 预编辑事件 3 | IME 提交 0
[event] 预编辑「ni h」（未进历史） | revision 18 | 核心动作 17 | 预编辑事件 5 | IME 提交 0
[event] 预编辑「ni ha」（未进历史） | revision 18 | 核心动作 17 | 预编辑事件 7 | IME 提交 0
[event] 预编辑「ni hao」（未进历史） | revision 18 | 核心动作 17 | 预编辑事件 9 | IME 提交 0
[event] 预编辑「」（未进历史） | revision 18 | 核心动作 17 | 预编辑事件 11 | IME 提交 0
[event] 预编辑「n」（未进历史） | revision 18 | 核心动作 17 | 预编辑事件 12 | IME 提交 0
[event] 预编辑「ni」（未进历史） | revision 18 | 核心动作 17 | 预编辑事件 14 | IME 提交 0
[event] 预编辑「ni h」（未进历史） | revision 18 | 核心动作 17 | 预编辑事件 16 | IME 提交 0
[event] 预编辑「ni ha」（未进历史） | revision 18 | 核心动作 17 | 预编辑事件 18 | IME 提交 0
[event] 预编辑「ni hao」（未进历史） | revision 18 | 核心动作 17 | 预编辑事件 20 | IME 提交 0
[event] 预编辑「」（未进历史） | revision 19 | 核心动作 18 | 预编辑事件 23 | IME 提交 1
[event] 预编辑「n」（未进历史） | revision 19 | 核心动作 18 | 预编辑事件 24 | IME 提交 1
[event] 预编辑「ni」（未进历史） | revision 19 | 核心动作 18 | 预编辑事件 26 | IME 提交 1
