[event] 启动完成 | revision 18 | 核心动作 17 | 预编辑事件 0 | IME 提交 0
[ime] 输入法锚点 [[8.0 121.7] - [9.5 150.3]]
[pointer] press=[8.0 135.0] origin=[8.0 106.0] node=2 byte=0
[event] 已删除选区 | revision 20 | 核心动作 18 | 预编辑事件 0 | IME 提交 0
[event] core：撤销 ActionId(18)，删除 0 字符 | revision 21 | 核心动作 19 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："S" | revision 22 | 核心动作 20 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："C" | revision 23 | 核心动作 21 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："R" | revision 24 | 核心动作 22 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："O" | revision 25 | 核心动作 23 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："L" | revision 26 | 核心动作 24 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："S" | revision 28 | 核心动作 26 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："C" | revision 29 | 核心动作 27 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："R" | revision 30 | 核心动作 28 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："O" | revision 31 | 核心动作 29 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："L" | revision 32 | 核心动作 30 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："S" | revision 34 | 核心动作 32 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："C" | revision 35 | 核心动作 33 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："R" | revision 36 | 核心动作 34 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："O" | revision 37 | 核心动作 35 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："L" | revision 38 | 核心动作 36 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："S" | revision 40 | 核心动作 38 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："C" | revision 41 | 核心动作 39 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："R" | revision 42 | 核心动作 40 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："O" | revision 43 | 核心动作 41 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："L" | revision 44 | 核心动作 42 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："S" | revision 46 | 核心动作 44 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："C" | revision 47 | 核心动作 45 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："R" | revision 48 | 核心动作 46 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："O" | revision 49 | 核心动作 47 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："L" | revision 50 | 核心动作 48 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："S" | revision 52 | 核心动作 50 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："C" | revision 53 | 核心动作 51 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："R" | revision 54 | 核心动作 52 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："O" | revision 55 | 核心动作 53 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："L" | revision 56 | 核心动作 54 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："S" | revision 58 | 核心动作 56 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："C" | revision 59 | 核心动作 57 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："R" | revision 60 | 核心动作 58 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："O" | revision 61 | 核心动作 59 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："L" | revision 62 | 核心动作 60 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："S" | revision 64 | 核心动作 62 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："C" | revision 65 | 核心动作 63 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："R" | revision 66 | 核心动作 64 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："O" | revision 67 | 核心动作 65 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："L" | revision 68 | 核心动作 66 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："S" | revision 70 | 核心动作 68 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："C" | revision 71 | 核心动作 69 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："R" | revision 72 | 核心动作 70 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："O" | revision 73 | 核心动作 71 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："L" | revision 74 | 核心动作 72 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："S" | revision 76 | 核心动作 74 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："C" | revision 77 | 核心动作 75 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："R" | revision 78 | 核心动作 76 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："O" | revision 79 | 核心动作 77 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："L" | revision 80 | 核心动作 78 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："S" | revision 82 | 核心动作 80 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："C" | revision 83 | 核心动作 81 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："R" | revision 84 | 核心动作 82 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："O" | revision 85 | 核心动作 83 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："L" | revision 86 | 核心动作 84 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："S" | revision 88 | 核心动作 86 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："C" | revision 89 | 核心动作 87 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："R" | revision 90 | 核心动作 88 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："O" | revision 91 | 核心动作 89 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："L" | revision 92 | 核心动作 90 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："S" | revision 94 | 核心动作 92 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："C" | revision 95 | 核心动作 93 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："R" | revision 96 | 核心动作 94 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："O" | revision 97 | 核心动作 95 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："L" | revision 98 | 核心动作 96 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："S" | revision 100 | 核心动作 98 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："C" | revision 101 | 核心动作 99 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："R" | revision 102 | 核心动作 100 | 预编辑事件 0 | IME 提交 0
