[event] 启动完成 | revision 18 | 核心动作 17 | 预编辑事件 0 | IME 提交 0
[typst-editor] Typst · revision 18 · 1 页 · 22 boxes
[ime] 输入法锚点 [[26.0 143.6] - [27.5 160.2]]
[pointer] press=[26.0 151.0] origin=[8.0 127.3] cursor=Text { node: NodeId(2), byte: 0 }
[event] 已删除选区 | revision 20 | 核心动作 18 | 预编辑事件 0 | IME 提交 0
[typst-editor] Typst · revision 20 · 1 页 · 16 boxes
[event] core：撤销 ActionId(18)，删除 0 字符 | revision 21 | 核心动作 19 | 预编辑事件 0 | IME 提交 0
[typst-editor] Typst · revision 21 · 1 页 · 22 boxes
[event] core 收到 Typing："S" | revision 22 | 核心动作 20 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："C" | revision 23 | 核心动作 21 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："R" | revision 24 | 核心动作 22 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："O" | revision 25 | 核心动作 23 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："L" | revision 26 | 核心动作 24 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing：" " | revision 28 | 核心动作 26 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："S" | revision 29 | 核心动作 27 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："C" | revision 30 | 核心动作 28 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："R" | revision 31 | 核心动作 29 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："O" | revision 32 | 核心动作 30 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："L" | revision 33 | 核心动作 31 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing：" " | revision 35 | 核心动作 33 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："S" | revision 36 | 核心动作 34 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："C" | revision 37 | 核心动作 35 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："R" | revision 38 | 核心动作 36 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："O" | revision 39 | 核心动作 37 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："L" | revision 40 | 核心动作 38 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing：" " | revision 42 | 核心动作 40 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："S" | revision 43 | 核心动作 41 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："C" | revision 44 | 核心动作 42 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："R" | revision 45 | 核心动作 43 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："O" | revision 46 | 核心动作 44 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："L" | revision 47 | 核心动作 45 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing：" " | revision 49 | 核心动作 47 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："S" | revision 50 | 核心动作 48 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："C" | revision 51 | 核心动作 49 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："R" | revision 52 | 核心动作 50 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："O" | revision 53 | 核心动作 51 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："L" | revision 54 | 核心动作 52 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing：" " | revision 56 | 核心动作 54 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："S" | revision 57 | 核心动作 55 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："C" | revision 58 | 核心动作 56 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："R" | revision 59 | 核心动作 57 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："O" | revision 60 | 核心动作 58 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："L" | revision 61 | 核心动作 59 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing：" " | revision 63 | 核心动作 61 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："S" | revision 64 | 核心动作 62 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："C" | revision 65 | 核心动作 63 | 预编辑事件 0 | IME 提交 0
